Table,Start Date,End Date,Start Era,End Era,Dynasty,Location,Sex,Glabello-Occipital Length,Ophryo-Occipital Length,Basi-Bregmatic Height,Maximum Breadth,Biauricular Breadth,Bizygomatic Breadth,Basi-Nasal Length,Basi-Aveolar Length,Nasi-Alveolar Height,Nasal Height,Nasal Width,Flower’s Alveolar Index,Gnathic Angle,Prognathism or Orthognathism,Estimated Cranial Capacity
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,178,178,126,139,113,119,92,88,67,47,22,96,71,B,1325
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,181,180,130,133,115,121,103,96,67,51,26,93,75,A B,1330
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,174,172,124,133,111,117,88,88,66,47,23,100,68,C,1220
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,177,177,126,140,110,118,94,92,71,51,25,98,68.5,B,1330
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,176,175,124,131,109,119,90,89,68,49,24,99,68,B C,1215
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,174,174,129,140,112,,90,89,67,48,26,99,68,B C,1335
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,182,181,129,131,121,133,99,92,67,47,24,93,74.5,A B,1310
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,183,182,135,138,116,124,96,84?,64,52,28,88,,,1450
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,175,175,130,130,115,125,103,101,67,49,24,98,72,C D,1260
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,169,168,125,131,115,121,93,89,70,50,25,96,70,A B,1175
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,175,175,130,134,118,131,96,94,74,54,24,98,68,B,1295
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,174,173,128,137,115,122,93,85,65,48,24,91,75,A,1295
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,177,177,127,139,118,125,95,91,70,51,27,96,70.5,B,1330
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,175,175,128,132,111,119,96,98,68,50,24,102,68,D E,1260
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,178,177,131,133,115,123,99,93,67,48,26,94,74,A B,1320
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,172,172,130,134,116,124,96,83,65,46,25,86,79,- A,1275
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,176,176,131,135,116,125,100,93,71,50,21,93,73,A,1325
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,185,182,131,138,115,128,97,98,75,52,24,101,66,C D,1420
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,180,177,123,132,111,121,98,101,69,51,25,103,67,E,1245
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,181,180,135,135,122,131,104,97,76,56,24,93,72.5,A,1400
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,179,179,141,141,119,125,100,82,68,48,24,82,82.5,- A,1515
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,175,174,120,130,113,122,92,88,69,48,24,96,70,A B,1160
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,178,178,131,139,111,123,95,94?,68?,47,26,99,,,1380
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,175,173,121,136,116,122,93,100,70,51,23,108,63,FG,1225
